Word,PoS,KM_Count,Value,Elo,RW,Best,Worst,Unchosen,BestWorst,ABW,David,ValueLogit,RWLogit,BestWorstLogit,N
lag,Noun,-0.25,0.425123851,-116.7650782,0.420249943,7,32,61,-37,-0.510825624,-8900,-0.301774083,-0.321747439,-37,100
bulk,Noun,-0.265,0.396972711,-260.2503154,0.397172093,4,30,64,-39.29591837,-0.543615447,-119400,-0.418094912,-0.417262089,-39.29591837,98
cable,Noun,0,0.523483971,19.9741954,0.527306526,25,25,46,0.5,0,33400,0.094005049,0.10933489,0.5,96
parliament,Noun,0.26,0.57881161,93.54685916,0.574843426,34,9,53,39.5625,0.533110669,3400,0.317896838,0.301640192,39.5625,96
flamethrower,Noun,0.625,0.714859,460.5033191,0.713178439,62,2,32,94.25,1.466337069,73300,0.919101526,0.910871368,94.25,96
boatload,Noun,-0.189,0.446135278,-80.05206892,0.452227876,11,29,55,-27.92105263,-0.383582397,-31200,-0.216298252,-0.191673166,-27.92105263,95
formation,Noun,-0.543,0.337659591,-236.952753,0.33971966,6,57,31,-80.88297872,-1.215533627,19700,-0.673741376,-0.664543754,-80.88297872,94
majority,Noun,-0.33,0.403462547,-140.189916,0.397310216,9,40,45,-48.96808511,-0.685179011,-18700,-0.391058363,-0.416685235,-48.96808511,94
liter,Noun,0.138,0.54241393,120.5288451,0.549361672,30,17,47,21.24468085,0.27837968,1800,0.170064419,0.198091923,21.24468085,94
crib,Noun,0.415,0.628340298,118.8715065,0.625709188,48,9,37,62.73404255,0.883015943,-22700,0.525103241,0.51385264,62.73404255,94
fantasy,Noun,-0.634,0.295166905,-313.7922039,0.286963848,2,61,30,-94.66129032,-1.497519996,-18500,-0.870420055,-0.910175882,-94.66129032,93
serenity,Noun,-0.226,0.420658904,-220.2131849,0.429454504,12,33,48,-33.37096774,-0.459532329,-44400,-0.320069116,-0.284077106,-33.37096774,93
kangaroo,Noun,0.785,0.801165343,583.4724676,0.800061532,73,0,20,118.2419355,2.116255515,173200,1.393593734,1.386678983,118.2419355,93
screening,Noun,-0.467,0.353376988,-202.9250826,0.349764396,3,46,43,-69.60869565,-1.01345448,-101300,-0.604228012,-0.620074992,-69.60869565,92
slate,Noun,0.011,0.496350712,-16.14461826,0.499540464,23,22,47,2.130434783,0.021739987,-31500,-0.014597412,-0.001838146,2.130434783,92
neutron,Noun,0.348,0.633603769,265.298759,0.634691729,38,6,48,52.67391304,0.725937003,87100,0.547708444,0.552397839,52.67391304,92
catwalk,Noun,0.402,0.641701588,216.8072538,0.645245978,40,3,49,60.82608696,0.852479219,75100,0.582757187,0.598206951,60.82608696,92
amendment,Noun,-0.451,0.344685193,-237.4418297,0.346406345,3,44,44,-67.08241758,-0.970778917,-107000,-0.642484224,-0.634873342,-67.08241758,91
expansion,Noun,-0.396,0.355051791,-365.6814436,0.364728415,3,39,49,-58.84065934,-0.836853901,-80500,-0.596906347,-0.554899591,-58.84065934,91
hysteria,Noun,-0.242,0.417142542,-110.5814765,0.412695065,6,28,57,-35.76373626,-0.493281314,-40500,-0.334514668,-0.352835187,-35.76373626,91
limbo,Noun,-0.209,0.418323094,-217.7609651,0.419957741,5,24,62,-30.81868132,-0.423814247,-49600,-0.329661063,-0.322946873,-30.81868132,91
sizzle,Noun,-0.242,0.419128133,-214.1315906,0.423226854,7,29,55,-35.76373626,-0.493281314,-44400,-0.326353512,-0.309540696,-35.76373626,91
craftsmanship,Noun,-0.187,0.461656703,37.05650436,0.468975708,16,33,42,-27.52197802,-0.378066134,65800,-0.153674908,-0.124256795,-27.52197802,91
circumcision,Noun,0.429,0.635474868,181.4618273,0.631656903,46,7,38,64.78571429,0.916290732,37100,0.555777045,0.539331541,64.78571429,91
likeness,Noun,-0.444,0.365247804,-224.0288698,0.352679605,5,45,40,-66.16666667,-0.955511445,-15200,-0.552658643,-0.607281364,-66.16666667,90
packaging,Noun,-0.4,0.39682051,-120.3159428,0.396821659,7,43,40,-59.5,-0.84729786,2200,-0.418730753,-0.41872595,-59.5,90
investigation,Noun,-0.344,0.397847885,-154.2819249,0.39558664,6,37,47,-51.16666667,-0.718253102,-38000,-0.414440363,-0.423888507,-51.16666667,90
civility,Noun,-0.244,0.399552802,-181.428938,0.398212528,9,31,50,-36.16666667,-0.498991166,-61800,-0.407328782,-0.412918493,-36.16666667,90
stationery,Noun,-0.3,0.430396544,-69.01756745,0.426639069,11,38,41,-44.5,-0.619039208,0,-0.280233449,-0.29557703,-44.5,90
laborer,Noun,-0.156,0.46016598,-106.7359516,0.466019883,10,24,56,-22.83333333,-0.313657559,12800,-0.15967447,-0.136130303,-22.83333333,90
starlet,Noun,-0.078,0.48934468,38.84755707,0.483131922,12,19,59,-11.16666667,-0.155870371,8600,-0.042627732,-0.067497929,-11.16666667,90
prostitution,Noun,0.289,0.588207284,133.9734741,0.583011637,34,8,48,43.83333333,0.594707108,22900,0.356559305,0.335148831,43.83333333,90
grandpa,Noun,0.767,0.753914113,363.6293619,0.756812055,71,2,17,115.5,2.024381765,55900,1.119597843,1.135280364,115.5,90
species,Noun,-0.483,0.354499165,-296.7254279,0.359189713,10,53,26,-71.97191011,-1.054160526,-40900,-0.599320512,-0.578882753,-71.97191011,89
actuality,Noun,-0.449,0.358367709,-214.4379898,0.358557703,5,45,39,-66.91573034,-0.967992106,-23200,-0.582455804,-0.581629626,-66.91573034,89
congregation,Noun,-0.135,0.45128352,-110.0710513,0.458649417,14,26,49,-19.7247191,-0.271315095,-46400,-0.195486089,-0.165780974,-19.7247191,89
chivalry,Noun,-0.169,0.455173557,-25.01062532,0.46559889,11,26,52,-24.78089888,-0.340325806,6000,-0.1797885,-0.137822187,-24.78089888,89
forgiveness,Noun,-0.09,0.457510088,-59.85181598,0.465840867,11,19,59,-12.98314607,-0.180261824,-44400,-0.170370557,-0.136849707,-12.98314607,89
meditation,Noun,0.067,0.492968896,-91.51142022,0.490066257,23,17,49,10.61235955,0.135036284,-51400,-0.028126269,-0.039740199,10.61235955,89
sheik,Noun,0.011,0.522274673,102.9809536,0.521447292,14,13,62,2.185393258,0.022472856,51600,0.089157704,0.085841842,2.185393258,89
quarter,Noun,0.124,0.5461751,-11.98544155,0.539538223,25,14,50,19.03932584,0.248461359,-35700,0.185228181,0.158483783,19.03932584,89
fortress,Noun,0.101,0.553453301,164.1580446,0.550551059,21,12,56,15.66853933,0.202940844,24300,0.214633394,0.202897447,15.66853933,89
prison,Noun,0.169,0.561925854,113.669778,0.563330713,25,10,54,25.78089888,0.340325806,13600,0.24898173,0.25469074,25.78089888,89
luggage,Noun,0.191,0.567141257,113.9731375,0.558216948,31,14,44,29.15168539,0.386772975,-3100,0.270196955,0.233928754,29.15168539,89
hiccup,Noun,0.337,0.601743139,135.5930458,0.604972609,42,12,35,51.06179775,0.701586049,1900,0.412733497,0.426228077,51.06179775,89
breast,Noun,0.494,0.658796474,209.484321,0.663302628,46,2,41,74.65730337,1.083686638,17800,0.657935498,0.678046816,74.65730337,89
bookcase,Noun,0.607,0.692689495,339.3916735,0.696967206,58,4,27,91.51123596,1.407496569,38900,0.812723187,0.832897331,91.51123596,89
exploration,Noun,-0.648,0.280200987,-336.1501961,0.281477358,1,58,29,-96.65909091,-1.542746538,-77100,-0.94346487,-0.937145208,-96.65909091,88
validation,Noun,-0.489,0.343993719,-311.998718,0.333681529,4,47,37,-72.79545455,-1.068534833,-86300,-0.645546963,-0.69158071,-72.79545455,88
access,Noun,-0.398,0.374734124,-174.5650003,0.381272298,6,41,41,-59.15909091,-0.841892442,-46000,-0.511960191,-0.484151464,-59.15909091,88
processor,Noun,-0.409,0.377643333,-150.8335743,0.374673545,3,39,46,-60.86363636,-0.869037847,-51900,-0.499563163,-0.512218741,-60.86363636,88
supremacy,Noun,-0.273,0.405994466,-225.6611743,0.406010617,12,36,40,-40.40909091,-0.559615788,-57900,-0.380549107,-0.380482134,-40.40909091,88
decompression,Noun,-0.148,0.434517464,-168.1140425,0.437986819,9,22,57,-21.65909091,-0.297632403,-65700,-0.263443276,-0.249336488,-21.65909091,88
aggression,Noun,-0.136,0.446672985,-168.1182367,0.446161378,12,24,52,-19.95454545,-0.274436846,-64100,-0.214122423,-0.216192629,-19.95454545,88
icebreaker,Noun,-0.17,0.465037823,-66.91022701,0.471519396,18,33,37,-25.06818182,-0.344269547,36000,-0.140077304,-0.114045866,-25.06818182,88
convoy,Noun,-0.045,0.49848662,57.55761839,0.491113358,11,15,62,-6.318181818,-0.090971778,16300,-0.006053537,-0.035550311,-6.318181818,88
resignation,Noun,0.08,0.510549766,22.9339134,0.512066154,18,11,59,12.43181818,0.159427737,-49900,0.042205329,0.048273988,12.43181818,88
whore,Noun,0.341,0.591899992,107.6477818,0.580916634,36,6,46,51.63636364,0.710241614,-56600,0.371825427,0.326537393,51.63636364,88
spacecraft,Noun,0.432,0.641277794,184.8328966,0.641308642,45,7,36,65.27272727,0.924258902,31700,0.580914451,0.581048551,65.27272727,88
archery,Noun,0.455,0.649778659,250.0371051,0.657640921,42,2,44,68.68181818,0.980829253,28600,0.618066422,0.652798943,68.68181818,88
gunpoint,Noun,0.534,0.666344475,250.3172071,0.648334578,48,1,39,80.61363636,1.191702712,13900,0.691697667,0.611726668,80.61363636,88
kiwi,Noun,0.705,0.740226164,426.4597141,0.736142332,66,4,18,106.1818182,1.752538756,79300,1.047144376,1.026013664,106.1818182,88
aspiration,Noun,-0.609,0.29972693,-365.8896178,0.297613244,2,55,30,-90.87931034,-1.415281898,-53300,-0.848598531,-0.858689384,-90.87931034,87
news,Noun,-0.391,0.369119552,-219.1325708,0.372936714,11,45,31,-58.12068966,-0.825498632,-87900,-0.5359958,-0.519638732,-58.12068966,87
defense,Noun,-0.345,0.39237715,-86.88868198,0.394882916,5,35,47,-51.22413793,-0.719122667,-51900,-0.437330883,-0.426832661,-51.22413793,87
imitation,Noun,-0.253,0.400329423,-230.7314686,0.408549394,8,30,49,-37.43103448,-0.516960612,-110200,-0.404092702,-0.369965352,-37.43103448,87
pride,Noun,-0.333,0.401651237,-142.8249467,0.412468909,10,39,38,-49.5,-0.693147181,-53600,-0.398589657,-0.353768334,-49.5,87
diligence,Noun,-0.299,0.409931068,-55.08144556,0.41079376,4,30,53,-44.32758621,-0.616513955,-22000,-0.364250346,-0.360684986,-44.32758621,87
sublevel,Noun,-0.264,0.415954506,-211.9415394,0.418862053,8,31,48,-39.15517241,-0.541597282,-63000,-0.339402987,-0.327446522,-39.15517241,87
decryption,Noun,-0.299,0.425126347,-68.67579217,0.426016796,8,34,45,-44.32758621,-0.616513955,-3000,-0.301763869,-0.298121362,-44.32758621,87
flop,Noun,-0.161,0.440580268,-51.23583325,0.440728749,8,22,57,-23.63793103,-0.324661076,-45600,-0.238807406,-0.238204995,-23.63793103,87
precision,Noun,-0.138,0.450035674,-92.85373799,0.451775079,8,20,59,-20.18965517,-0.277631737,-70800,-0.200526561,-0.1935012,-20.18965517,87
hygiene,Noun,-0.149,0.455478383,-99.67450838,0.447431428,9,22,56,-21.9137931,-0.301105093,-32900,-0.178559386,-0.211054246,-21.9137931,87
thread,Noun,-0.161,0.457658891,-53.87776794,0.460047317,17,31,39,-23.63793103,-0.324661076,-27700,-0.169771028,-0.160152164,-23.63793103,87
aggressor,Noun,-0.08,0.468503782,-71.4722808,0.46628002,14,21,52,-11.56896552,-0.161268148,-55100,-0.126151909,-0.135084963,-11.56896552,87
wounds,Noun,-0.057,0.499019365,20.84160386,0.504950458,22,27,38,-8.120689655,-0.11506933,19700,-0.003922546,0.019802481,-8.120689655,87
citizenship,Noun,-0.046,0.500079818,-22.98985783,0.500809829,20,24,43,-6.396551724,-0.092018899,5400,3.19E-04,0.00323932,-6.396551724,87
robbery,Noun,0.115,0.533403889,-1.80939272,0.53187268,23,13,51,17.74137931,0.230905557,-24900,0.133814877,0.127663827,17.74137931,87
summertime,Noun,0.149,0.545917903,117.9984922,0.544205826,25,12,50,22.9137931,0.301105093,-25000,0.184190591,0.177286196,22.9137931,87
tart,Noun,0.138,0.545927688,65.80939959,0.539900316,26,14,47,21.18965517,0.277631737,-10500,0.184230064,0.159941353,21.18965517,87
admiral,Noun,0.172,0.552811447,121.0724274,0.552194982,28,13,46,26.36206897,0.348306694,-17400,0.212036654,0.209543301,26.36206897,87
castration,Noun,0.207,0.570466927,114.1342,0.573166041,31,13,43,31.53448276,0.419853846,-18600,0.283756454,0.294780369,31.53448276,87
wingman,Noun,0.23,0.571801127,117.3741414,0.569848431,26,6,55,34.98275862,0.468136215,31400,0.289203507,0.281232784,34.98275862,87
knapsack,Noun,0.195,0.596233442,219.9750653,0.589844579,25,8,54,29.81034483,0.395895657,78700,0.389795389,0.363322912,29.81034483,87
tea,Noun,0.46,0.63190588,188.0208508,0.633379151,51,11,25,69.46551724,0.994039485,-35100,0.540401793,0.546741011,69.46551724,87
sulfur,Noun,0.529,0.681799621,332.604625,0.667960503,50,4,33,79.81034483,1.176777062,74300,0.762054499,0.698975116,79.81034483,87
bellboy,Noun,0.586,0.701063878,336.670812,0.698481252,54,3,30,88.43103448,1.343734747,67500,0.852369093,0.840076141,88.43103448,87
closeness,Noun,-0.593,0.321880264,-269.8186509,0.319478423,1,52,33,-88.45348837,-1.364632864,-24000,-0.745144248,-0.756169792,-88.45348837,86
concern,Noun,-0.512,0.328292207,-300.7132443,0.337033716,3,47,36,-76.24418605,-1.129864832,-59100,-0.715919326,-0.676541163,-76.24418605,86
adaptation,Noun,-0.488,0.338801879,-306.4003498,0.33865439,2,44,40,-72.75581395,-1.06784063,-63700,-0.668638014,-0.669296472,-72.75581395,86
indicator,Noun,-0.465,0.353621561,-308.1435038,0.359891563,5,45,36,-69.26744186,-1.00764051,-31000,-0.603157848,-0.575834824,-69.26744186,86
tolerance,Noun,-0.384,0.369322523,-237.901219,0.373568759,5,38,43,-57.05813953,-0.80883158,-57800,-0.535124293,-0.516936938,-57.05813953,86
status,Noun,-0.302,0.395352461,-271.4969072,0.393613467,5,31,50,-44.84883721,-0.624154309,-20100,-0.424868033,-0.432148247,-44.84883721,86
bliss,Noun,-0.279,0.409937767,-167.4183642,0.415804986,8,32,46,-41.36046512,-0.573345981,-28600,-0.36422265,-0.340018489,-41.36046512,86
novice,Noun,-0.337,0.417259819,-123.1083277,0.42101926,7,36,43,-50.08139535,-0.701880861,8600,-0.334032335,-0.318590631,-50.08139535,86
vogue,Noun,-0.233,0.427070381,-93.78851459,0.424161441,5,25,56,-34.38372093,-0.473784352,-32500,-0.293814055,-0.3057132,-34.38372093,86
hideaway,Noun,-0.14,0.441011442,-118.3805209,0.446948775,6,18,62,-20.43023256,-0.280902385,-65400,-0.237058182,-0.213006636,-20.43023256,86
screamer,Noun,-0.151,0.450393341,-162.1295242,0.458156594,10,23,53,-22.1744186,-0.304660409,-19400,-0.199081565,-0.167766008,-22.1744186,86
legwork,Noun,-0.14,0.458905426,-69.76720494,0.45757964,14,26,46,-20.43023256,-0.280902385,-43000,-0.164749933,-0.170090325,-20.43023256,86
chorus,Noun,-0.105,0.463194671,-109.4825909,0.466122185,11,20,55,-15.19767442,-0.21007147,21700,-0.147488093,-0.135719203,-15.19767442,86
troll,Noun,-0.186,0.464784179,-53.58892098,0.460391582,10,26,50,-27.40697674,-0.376477571,22800,-0.141096904,-0.158766331,-27.40697674,86
notch,Noun,-0.093,0.469936094,-84.05375989,0.473209625,15,23,48,-13.45348837,-0.186585956,-39700,-0.120400863,-0.107264226,-13.45348837,86
middleman,Noun,-0.023,0.477935503,-53.35715087,0.484340189,14,16,56,-2.988372093,-0.046520016,-77700,-0.088315346,-0.062659737,-2.988372093,86
incarceration,Noun,-0.093,0.491340791,39.76120344,0.497259932,7,15,64,-13.45348837,-0.186585956,35600,-0.0346403,-0.010960383,-13.45348837,86
cavalier,Noun,0.047,0.518356201,58.41096623,0.515463975,21,17,48,7.476744186,0.093090423,8400,0.073457819,0.061875633,7.476744186,86
splint,Noun,0.14,0.541788607,32.79105656,0.547429064,24,12,50,21.43023256,0.280902385,7400,0.167545268,0.190288376,21.43023256,86
mayday,Noun,0.151,0.545020065,42.09526776,0.547883185,21,8,57,23.1744186,0.304660409,-14100,0.180569292,0.192121511,23.1744186,86
freshman,Noun,0.163,0.554245096,64.35430695,0.549794591,23,9,54,24.91860465,0.328504067,23200,0.217837741,0.199840795,24.91860465,86
mountaintop,Noun,0.116,0.571951253,234.4785396,0.564063629,25,15,46,17.94186047,0.233614851,124000,0.289816683,0.257670769,17.94186047,86
vibrator,Noun,0.186,0.580556143,100.330997,0.580417426,22,6,58,28.40697674,0.376477571,61200,0.325056827,0.324487198,28.40697674,86
heroine,Noun,0.372,0.604471461,94.08160487,0.6093165,43,11,32,56.31395349,0.781700578,-15300,0.424131513,0.444440066,56.31395349,86
hourglass,Noun,0.267,0.626736797,301.6070977,0.617151589,30,7,49,40.61627907,0.548213156,120500,0.518242862,0.477475563,40.61627907,86
accordion,Noun,0.395,0.636531973,228.084186,0.630719591,42,8,36,59.80232558,0.836248024,52400,0.560343315,0.535305102,59.80232558,86
stairwell,Noun,0.442,0.645259189,165.0144133,0.644893463,40,2,44,66.77906977,0.949080555,57800,0.598264668,0.596667279,66.77906977,86
christmas,Noun,0.407,0.651019845,182.5238349,0.646415178,45,10,31,61.54651163,0.863964913,96200,0.623525068,0.603318584,61.54651163,86
accountant,Noun,0.477,0.657345571,228.1413492,0.663092669,44,3,39,72.01162791,1.037524597,61300,0.65148742,0.677106844,72.01162791,86
gladiator,Noun,0.488,0.662729181,309.7932699,0.659771113,45,3,38,73.75581395,1.06784063,73600,0.675480207,0.662274387,73.75581395,86
seaweed,Noun,0.512,0.67506383,301.0725863,0.670949493,47,3,36,77.24418605,1.129864832,55900,0.731178488,0.712482606,77.24418605,86
smallpox,Noun,0.593,0.683265034,281.2514131,0.689566374,58,7,21,89.45348837,1.364632864,17500,0.768817472,0.798092845,89.45348837,86
dumbbell,Noun,0.547,0.690640513,304.0246515,0.686769982,49,2,35,82.47674419,1.226787482,106200,0.803115459,0.785061617,82.47674419,86
pillow,Noun,0.651,0.725480231,354.8696663,0.720167296,58,2,26,98.1744186,1.554629676,99000,0.971810544,0.9452916,98.1744186,86
delusion,Noun,-0.459,0.350443286,-238.3880013,0.353364921,4,43,38,-68.32352941,-0.991640169,-34500,-0.617091269,-0.60428082,-68.32352941,85
goodwill,Noun,-0.447,0.367428463,-203.1215537,0.371185169,0,38,47,-66.55882353,-0.962036754,-18700,-0.543264675,-0.527135782,-66.55882353,85
